time_ms,iso,ETAT_VERROUILLAGE_DEVERROUILLAGE_CALCULTATEUR,ETAT_PROGRAMMATION_ANTI_DEMARRAGE,PB_TRANSMISSION_CODE_DEVERROUILLAGE,OPTION_APPAIRAGE_CHOISIE,REGIME_MOTEUR,TENSION_ALIMENTATION_CALCULATEUR_CONTROLE_MOTEUR,TEMPERATURE_D_EAU_MOTEUR_d,TEMPS_INJECTION_CYLINDRE_01,TEMPS_INJECTION_CYLINDRE_02,TEMPS_INJECTION_CYLINDRE_03,TEMPS_INJECTION_CYLINDRE_04,ETAT_SONDE_A_OXYGENE_AMONT,ETAT_REGULATION_SONDE_A_OXYGENE_AMONT,TENSION_SONDE_A_OXYGENE_AMONT,ETAT_SONDE_A_OXYGENE_AVAL,ETAT_REGULATION_SONDE_A_OXYGENE_AVAL,TENSION_SONDE_A_OXYGENE_AVAL,RCOAMONT,RCOAVAL,FACTEUR_CORRECTION_RICHESSE_AMONT,FACTEUR_CORRECTION_RICHESSE_AVAL,CHARGE_ESTIMEE_CANISTER,CON_RICHESSE,CDERCOELECPURGE,AVANCE_ALLUMAGE_OPTIMAL,AVANCE_ALLUMAGE_MAXIMUM,AVANCE_ALLUMAGE_MINIMUM,AVANCE_ALLUMAGE_APPLIQUEE_A_CHAQUE_CYLINDRE,AVANCE_APPLIQUEE_CYL_2,AVANCE_APPLIQUEE_CYL_3,AVANCE_APPLIQUEE_CYL_4,RETRAIT_AVANCE_ALLUMAGE_CYLINDRE_01,RETRAIT_AVANCE_ALLUMAGE_CYLINDRE_02,RETRAIT_AVANCE_ALLUMAGE_CYLINDRE_03,RETRAIT_AVANCE_ALLUMAGE_CYLINDRE_04,TEMP_AIR_ADMISSION_SUP,REMPLISSAGE_DE_CONSIGNE,REMPLISSAGE_MESURE,DEBIT_AIR,CONSIGNE_PRESSION_ADMISSION,PRESSIONTUBULURE,ANGLE_PAPILLON_CONSIGNE,ANGLE_PAPILLON_MESURE,TENSION_RECOPIE_POSITION_PAPILLON_01,TENSION_RECOPIE_POSITION_PAPILLON_02,CONSIGNE_POSITION_DEPHASEUR_AAC_ADMISSION,POS_DEPHASEUR_ACC_1,RCO_ELECTROVANNE_DEPHASEUR_ACC_1,ETAT_COH_POSITION_AAC_ADMI_VIL,COMPTDEMMOT,DEBAIRCONS,DEPASSEMENT_SEUIL_ENCRASSEMENT_MOTEUR,COMPTEUR_NB_DEMARRAGE_A_FROID,APP_POS_MINI_PEDALE_1,APP_POS_MINI_PEDALE_2,APP_POS_MAXI_PEDALE_1,APP_POS_MAXI_PEDALE_2,ETAT_APP_BUTEES_PAPILLON_MOTORISE,BESOIN_APPRENTISSAGE_BUTEES_PAPILLON,VALEUR_APP_LIMP_HOME_BPM_SIGNAL_1,VALEUR_APP_LIMP_HOME_BPM_SIGNAL_2,APPRENTISSAGE_BUTE_MINI_PAPILLON_PISTE_01,APPRENTISSAGE_BUTE_MINI_PAPILLON_PISTE_02,ETAT_APP_DEPH_AAC_ADM,VALEUR_APPRENTISSAGE_BUTEE_BASSE_DEPHASEUR_AAC_ADMISSION,STATUS_PREMIER_APP_DEPH_AAC_ADM,COUPLE_MOTEUR_EFFECTIF_AIR,COUPLE_MOTEUR_EFFECTIF_AVANCE,COUPLE_MOTEUR_AVANCE,COUPLE_RESISTANT_MOTEUR_ESTIME,COUPLE_VOLONTE_CONDUCTEUR,REGMOTRALENTI,VITESSE_VEHICULE,PEDALE_ACCELERATEUR_1,PEDALE_ACCELERATEUR_2,POSPEDACC1,POSPEDACC2,VITESSE_CONSIGNE_REGULATION_VITESSE,ETAT_RVV,VITESSE_CONSIGNE_LIMITATION_DE_VITESSE,ETAT_LVV,ETAT_CONTACTEUR_FREIN_PRINCIPAL,ETAT_CONTACTEUR_PEDALE_FREIN,INFORMATION_CAPTEUR_EMBRAYAGE,INFORMATION_POINT_DUR_PEDALE_ACCELERATEUR,RAPPORT_ENGAGE,TYPE_BOITE_VITESSES,ETAT_MTH,ETAT_FONCTIONNEMENT_MOTEUR_THERMIQUE,ETAT_REVEIL_CALCULATEUR,POSITION_PEDALE_EMBRAYAGE,NIVEAU_CARBURANT_AFFICHE,TEMPS_ARRET_MOTEUR,TEMPERATURE_EAU_DERNIER_ARRET_MOTEUR,AUTORISATION_DEMARRAGE_CALCULATEURS_BV,ETAT_GMP,ETAT_REL_GMV_C5,ETAT_GMV_PTIT_C5,CONSIGNE_VITESSE_GMV_C5,ETAT_RELAIS_GMV,ESTIMATION_PUISSANCE_CONSO_COMPRESSEUR_REFRI,PRESSION_CIRCUIT_REFRIGERANT_a,TENSION_ALIMENTATION_CAPTEURS_01,TENSION_ALIMENTATION_CAPTEURS_02,TENSION_ALIMENTATION_CAPTEURS_03,PRESSION_HUILE_MOTEUR,COMMANDE_RELAIS_PUISSANCE,ETATCDEDEM,TEMPERATURE_AIR_EXTERIEUR,BRUIT_CAPTEUR_CLIQUETIS,INFO_DETECTION_CHOC,ETAT_COMMANDE_POMPE_VIDE_ELECTRIQUE,PRESSION_ATMOSPHERIQUE,PRESSION_MASTERVAC,ZAPVNUMBER,SIGNATURE,DATE,MILEAGE,ERASETYPE,NUMBERINTERVENTION,DONNES_ADAPT
1788528093709,2026-09-04T17:21:33.709,0.0,4.0,0.0,1.0,831.0,14.3,37.0,2.82,2.82,2.82,2.82,1.0,0.0,478.0,1.0,0.0,454.0,7.5,7.5,1.9839999999993196E-5,1.9839999999993196E-5,32.0,1.071,0.0,19.0,19.0,-11.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,35.0,20.0,20.0,9.200000000000001,357.0,315.0,2.0,2.0,620.0,4370.0,0.0,0.0,0.0,1.0,19475.0,10.200000000000001,0.0,0.0,,,,,,,,,,,,,,-28.75,-2.0,-1.375,28.5625,-28.75,830.0,0.0,390.0,200.0,0.0,0.0,254.0,20.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,0.0,5.0,1.0,4.0,0.0,10.0,28488.0,101.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,4.3,5000.0,4990.0,4990.0,1.0,1.0,0.0,31.0,1454.0,0.0,255.0,850.0,317.0,0.0,0.0,1245716.0,3.008,3.0,50.0,
1788528094266,2026-09-04T17:21:34.266,0.0,4.0,0.0,1.0,834.0,14.3,37.0,2.79,2.79,2.79,2.79,1.0,0.0,473.0,1.0,0.0,454.0,7.5,7.5,1.9839999999993196E-5,1.9839999999993196E-5,32.0,1.071,0.0,19.0,19.0,-10.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,35.0,21.0,20.0,9.3,357.0,315.0,3.0,3.0,620.0,4370.0,0.0,0.0,0.0,1.0,19475.0,10.5,0.0,0.0,,,,,,,,,,,,,,-28.9375,-0.8125,-1.25,28.75,-28.9375,830.0,0.0,390.0,200.0,0.0,0.0,254.0,20.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,0.0,5.0,1.0,4.0,0.0,10.0,28488.0,101.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,4.3,5000.0,4990.0,4980.0,1.0,1.0,0.0,31.0,1472.0,0.0,255.0,850.0,317.0,0.0,0.0,1245716.0,3.008,3.0,50.0,
1788528094700,2026-09-04T17:21:34.700,0.0,4.0,0.0,1.0,826.0,14.3,37.0,2.86,2.86,2.86,2.86,1.0,0.0,478.0,1.0,0.0,454.0,7.5,7.5,1.9839999999993196E-5,1.9839999999993196E-5,32.0,1.071,0.0,19.0,19.0,-12.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,35.0,20.0,21.0,9.4,357.0,336.0,3.0,3.0,620.0,4360.0,0.0,0.0,0.0,1.0,19475.0,10.4,1.0,0.0,,,,,,,,,,,,,,-28.875,-2.75,-1.4375,28.6875,-28.875,830.0,0.0,390.0,200.0,0.0,0.0,254.0,20.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,0.0,5.0,1.0,4.0,0.0,10.0,28488.0,101.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,4.3,5000.0,4990.0,4980.0,1.0,1.0,0.0,31.0,1642.0,0.0,255.0,850.0,317.0,0.0,0.0,1245716.0,3.008,3.0,50.0,
1788528095253,2026-09-04T17:21:35.253,0.0,4.0,0.0,1.0,824.0,14.3,37.0,2.87,2.87,2.87,2.87,1.0,0.0,478.0,1.0,0.0,458.0,7.5,7.5,1.9839999999993196E-5,1.9839999999993196E-5,32.0,1.07,0.0,19.0,19.0,-12.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,35.0,21.0,21.0,9.3,357.0,336.0,3.0,3.0,620.0,4360.0,0.0,0.0,0.0,1.0,19475.0,10.5,1.0,0.0,,,,,,,,,,,,,,-29.0,1.375,0.75,28.8125,-29.0,830.0,0.0,390.0,200.0,0.0,0.0,254.0,20.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,0.0,5.0,1.0,4.0,0.0,10.0,28488.0,101.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,4.3,5000.0,4990.0,4990.0,1.0,1.0,0.0,31.0,1763.0,0.0,255.0,850.0,317.0,0.0,0.0,1245716.0,3.008,3.0,50.0,
1788528095805,2026-09-04T17:21:35.805,0.0,4.0,0.0,1.0,835.0,14.3,37.0,2.94,2.94,2.94,2.94,1.0,0.0,478.0,1.0,0.0,454.0,7.5,7.5,1.9839999999993196E-5,1.9839999999993196E-5,32.0,1.07,0.0,18.0,18.0,-14.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,35.0,21.0,21.0,9.600000000000001,357.0,336.0,3.0,3.0,620.0,4370.0,0.0,0.0,0.0,1.0,19475.0,10.600000000000001,0.0,0.0,,,,,,,,,,,,,,-29.0625,2.375,0.6875,28.875,-29.0625,830.0,0.0,390.0,200.0,0.0,0.0,254.0,20.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,0.0,5.0,1.0,4.0,0.0,10.0,28488.0,101.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,4.3,5000.0,4990.0,4980.0,1.0,1.0,0.0,31.0,1651.0,0.0,255.0,850.0,317.0,0.0,0.0,1245716.0,3.008,3.0,50.0,
1788528096341,2026-09-04T17:21:36.341,0.0,4.0,0.0,1.0,828.0,14.3,37.0,2.9,2.9,2.9,2.9,1.0,0.0,473.0,1.0,0.0,449.0,7.5,7.5,1.9839999999993196E-5,1.9839999999993196E-5,32.0,1.07,0.0,19.0,19.0,-13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,20.0,21.0,9.5,357.0,336.0,3.0,3.0,620.0,4370.0,0.0,0.0,0.0,1.0,19475.0,10.4,1.0,0.0,,,,,,,,,,,,,,-28.875,-2.3125,-2.125,28.6875,-28.875,830.0,0.0,390.0,200.0,0.0,0.0,254.0,20.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,0.0,5.0,1.0,4.0,0.0,10.0,28488.0,101.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,4.3,5000.0,4990.0,4980.0,1.0,1.0,0.0,31.0,1857.0,0.0,255.0,850.0,317.0,0.0,0.0,1245716.0,3.008,3.0,50.0,
1788528097025,2026-09-04T17:21:37.025,0.0,4.0,0.0,1.0,836.0,14.3,37.0,2.84,2.84,2.84,2.84,1.0,0.0,478.0,0.0,0.0,444.0,7.5,7.5,1.9839999999993196E-5,1.9839999999993196E-5,32.0,1.07,0.0,19.0,19.0,-11.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,35.0,20.0,20.0,9.200000000000001,357.0,315.0,2.0,2.0,620.0,4370.0,0.0,0.0,0.0,1.0,19475.0,10.3,1.0,0.0,,,,,,,,,,,,,,-29.0,-0.5625,-1.125,28.8125,-29.0,830.0,0.0,390.0,200.0,0.0,0.0,254.0,20.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,0.0,5.0,1.0,4.0,0.0,10.0,28488.0,101.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,4.3,5000.0,4990.0,4980.0,1.0,1.0,0.0,31.0,1556.0,0.0,255.0,850.0,317.0,0.0,0.0,1245716.0,3.008,3.0,50.0,
1788528097583,2026-09-04T17:21:37.583,0.0,4.0,0.0,1.0,824.0,14.3,37.0,2.8000000000000003,2.8000000000000003,2.8000000000000003,2.8000000000000003,1.0,0.0,473.0,1.0,0.0,449.0,7.5,7.5,1.9839999999993196E-5,1.9839999999993196E-5,32.0,1.07,0.0,19.0,19.0,-11.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,35.0,21.0,20.0,9.1,357.0,315.0,3.0,2.0,620.0,4370.0,0.0,0.0,0.0,1.0,19475.0,10.4,0.0,0.0,,,,,,,,,,,,,,-29.0625,-1.75,-2.125,28.875,-29.0625,829.0,0.0,390.0,200.0,0.0,0.0,254.0,20.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,0.0,5.0,1.0,4.0,0.0,10.0,28488.0,101.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,4.3,5000.0,4990.0,4990.0,1.0,1.0,0.0,31.0,1599.0,0.0,255.0,850.0,317.0,0.0,0.0,1245716.0,3.008,3.0,50.0,
1788528098108,2026-09-04T17:21:38.108,0.0,4.0,0.0,1.0,830.0,14.3,38.0,2.82,2.82,2.82,2.82,1.0,0.0,473.0,1.0,0.0,454.0,7.5,7.5,1.9839999999993196E-5,1.9839999999993196E-5,32.0,1.07,0.0,19.0,19.0,-11.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,35.0,20.0,20.0,9.200000000000001,357.0,315.0,2.0,2.0,620.0,4370.0,0.0,0.0,0.0,1.0,19475.0,10.200000000000001,0.0,0.0,,,,,,,,,,,,,,-29.0,-1.0625,-1.6875,28.8125,-29.0,829.0,0.0,390.0,200.0,0.0,0.0,254.0,20.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,0.0,5.0,1.0,4.0,0.0,10.0,28488.0,101.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,4.3,5000.0,4990.0,4990.0,1.0,1.0,0.0,31.0,2088.0,0.0,255.0,850.0,317.0,0.0,0.0,1245716.0,3.008,3.0,50.0,
1788528098594,2026-09-04T17:21:38.594,0.0,4.0,0.0,1.0,828.0,14.3,38.0,2.83,2.83,2.83,2.83,1.0,0.0,473.0,1.0,0.0,458.0,7.5,7.5,1.9839999999993196E-5,1.9839999999993196E-5,32.0,1.07,0.0,19.0,19.0,-11.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,35.0,20.0,20.0,9.200000000000001,357.0,315.0,2.0,2.0,620.0,4370.0,0.0,0.0,0.0,1.0,19475.0,10.3,1.0,0.0,,,,,,,,,,,,,,-29.0,0.1875,-1.9375,28.8125,-29.0,829.0,0.0,390.0,200.0,0.0,0.0,254.0,20.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,0.0,5.0,1.0,4.0,0.0,10.0,28488.0,101.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,4.3,5000.0,4990.0,4970.0,1.0,1.0,0.0,31.0,1431.0,0.0,255.0,850.0,317.0,0.0,0.0,1245716.0,3.008,3.0,50.0,
1788528099056,2026-09-04T17:21:39.056,0.0,4.0,0.0,1.0,825.0,14.3,38.0,2.84,2.84,2.84,2.84,1.0,0.0,478.0,1.0,0.0,454.0,7.5,7.5,1.9839999999993196E-5,1.9839999999993196E-5,32.0,1.07,0.0,19.0,19.0,-11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,20.0,20.0,9.200000000000001,357.0,315.0,2.0,2.0,620.0,4360.0,0.0,0.0,0.0,1.0,19475.0,10.200000000000001,1.0,0.0,,,,,,,,,,,,,,-28.875,-0.3125,-1.25,28.6875,-28.875,829.0,0.0,390.0,200.0,0.0,0.0,254.0,20.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,0.0,5.0,1.0,4.0,0.0,10.0,28488.0,101.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,4.3,5000.0,4990.0,4980.0,1.0,1.0,0.0,31.0,1529.0,0.0,255.0,850.0,317.0,0.0,0.0,1245716.0,3.008,3.0,50.0,
1788528099626,2026-09-04T17:21:39.626,0.0,4.0,0.0,1.0,824.0,14.3,38.0,2.83,2.83,2.83,2.83,1.0,0.0,478.0,1.0,0.0,454.0,7.5,7.5,1.9839999999993196E-5,1.9839999999993196E-5,32.0,1.07,0.0,19.0,19.0,-11.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,35.0,20.0,20.0,9.200000000000001,357.0,315.0,2.0,2.0,620.0,4370.0,0.0,0.0,0.0,1.0,19475.0,10.200000000000001,0.0,0.0,,,,,,,,,,,,,,-29.0625,-0.375,-1.125,28.875,-29.0625,828.0,0.0,390.0,200.0,0.0,0.0,254.0,20.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,0.0,5.0,1.0,4.0,0.0,10.0,28488.0,101.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,4.3,5000.0,4990.0,4980.0,1.0,1.0,0.0,31.0,1752.0,0.0,255.0,850.0,317.0,0.0,0.0,1245716.0,3.008,3.0,50.0,
1788528100162,2026-09-04T17:21:40.162,0.0,4.0,0.0,1.0,827.0,14.3,38.0,2.83,2.83,2.83,2.83,1.0,0.0,473.0,1.0,0.0,449.0,7.5,7.5,1.9839999999993196E-5,1.9839999999993196E-5,32.0,1.07,0.0,19.0,19.0,-11.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,35.0,20.0,20.0,9.3,357.0,315.0,2.0,3.0,620.0,4370.0,0.0,0.0,0.0,1.0,19475.0,10.3,0.0,0.0,,,,,,,,,,,,,,-29.0,-1.75,-1.875,28.8125,-29.0,828.0,0.0,390.0,200.0,0.0,0.0,254.0,20.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,0.0,5.0,1.0,4.0,0.0,10.0,28488.0,101.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,4.3,5000.0,4990.0,4980.0,1.0,1.0,0.0,31.0,1362.0,0.0,255.0,850.0,317.0,0.0,0.0,1245716.0,3.008,3.0,50.0,
1788528100768,2026-09-04T17:21:40.768,0.0,4.0,0.0,1.0,831.0,14.200000000000001,38.0,2.83,2.83,2.83,2.83,1.0,0.0,473.0,1.0,0.0,454.0,7.5,7.5,1.9839999999993196E-5,1.9839999999993196E-5,33.0,1.07,0.0,19.0,19.0,-11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,20.0,21.0,9.200000000000001,357.0,336.0,2.0,2.0,620.0,4370.0,0.0,0.0,0.0,1.0,19475.0,10.100000000000001,1.0,0.0,,,,,,,,,,,,,,-28.875,0.125,-1.5,28.6875,-28.875,828.0,0.0,390.0,200.0,0.0,0.0,254.0,20.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,0.0,5.0,1.0,4.0,0.0,10.0,28488.0,101.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,4.3,5000.0,4990.0,4990.0,1.0,1.0,0.0,31.0,1492.0,0.0,255.0,850.0,317.0,0.0,0.0,1245716.0,3.008,3.0,50.0,
1788528101241,2026-09-04T17:21:41.241,0.0,4.0,0.0,1.0,824.0,14.3,38.0,2.84,2.84,2.84,2.84,1.0,0.0,478.0,1.0,0.0,454.0,7.5,7.5,1.9839999999993196E-5,1.9839999999993196E-5,33.0,1.069,0.0,19.0,19.0,-12.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,35.0,20.0,21.0,9.3,357.0,315.0,2.0,2.0,620.0,4370.0,0.0,0.0,0.0,1.0,19475.0,10.3,1.0,0.0,,,,,,,,,,,,,,-29.0,-1.3125,-1.125,28.8125,-29.0,828.0,0.0,390.0,200.0,0.0,0.0,254.0,20.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,0.0,5.0,1.0,4.0,0.0,10.0,28488.0,101.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,4.3,5000.0,4990.0,4990.0,1.0,1.0,0.0,31.0,1691.0,0.0,255.0,850.0,317.0,0.0,0.0,1245716.0,3.008,3.0,50.0,
1788528101723,2026-09-04T17:21:41.723,0.0,4.0,0.0,1.0,826.0,14.3,38.0,2.84,2.84,2.84,2.84,1.0,0.0,478.0,0.0,0.0,444.0,7.5,7.5,1.9839999999993196E-5,1.9839999999993196E-5,33.0,1.069,0.0,19.0,19.0,-11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,20.0,20.0,9.3,357.0,315.0,2.0,2.0,620.0,4360.0,0.0,0.0,0.0,1.0,19475.0,10.200000000000001,0.0,0.0,,,,,,,,,,,,,,-29.0625,-0.6875,-0.875,28.875,-29.0625,828.0,0.0,390.0,200.0,0.0,0.0,254.0,20.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,0.0,5.0,1.0,4.0,0.0,10.0,28488.0,101.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,4.3,5000.0,4990.0,4980.0,1.0,1.0,0.0,31.0,1699.0,0.0,255.0,850.0,317.0,0.0,0.0,1245716.0,3.008,3.0,50.0,
1788528102351,2026-09-04T17:21:42.351,0.0,4.0,0.0,1.0,824.0,14.3,38.0,2.84,2.84,2.84,2.84,1.0,0.0,478.0,1.0,0.0,449.0,7.5,7.5,1.9839999999993196E-5,1.9839999999993196E-5,33.0,1.069,0.0,19.0,19.0,-11.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,35.0,20.0,21.0,9.3,357.0,315.0,2.0,2.0,620.0,4370.0,0.0,0.0,0.0,1.0,19475.0,10.3,0.0,0.0,,,,,,,,,,,,,,-29.0,-0.25,-0.875,28.8125,-29.0,828.0,0.0,390.0,200.0,0.0,0.0,254.0,20.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,0.0,5.0,1.0,4.0,0.0,10.0,28488.0,101.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,4.3,5000.0,4990.0,4990.0,1.0,1.0,0.0,31.0,1643.0,0.0,255.0,850.0,317.0,0.0,0.0,1245716.0,3.008,3.0,50.0,
1788528102847,2026-09-04T17:21:42.847,0.0,4.0,0.0,1.0,842.0,14.200000000000001,38.0,2.84,2.84,2.84,2.84,1.0,0.0,483.0,1.0,0.0,458.0,7.5,7.5,1.9839999999993196E-5,1.9839999999993196E-5,33.0,1.069,0.0,19.0,19.0,-11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,20.0,20.0,9.3,357.0,315.0,2.0,3.0,620.0,4370.0,0.0,0.0,0.0,1.0,19475.0,10.200000000000001,1.0,0.0,,,,,,,,,,,,,,-29.0,-1.8125,-0.8125,28.8125,-29.0,828.0,0.0,390.0,200.0,0.0,0.0,254.0,20.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,0.0,5.0,1.0,4.0,0.0,10.0,28488.0,101.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,4.3,5000.0,4990.0,4980.0,1.0,1.0,0.0,31.0,1438.0,0.0,255.0,850.0,317.0,0.0,0.0,1245716.0,3.008,3.0,50.0,
1788528103393,2026-09-04T17:21:43.393,0.0,4.0,0.0,1.0,822.0,14.3,38.0,2.84,2.84,2.84,2.84,1.0,0.0,478.0,1.0,0.0,458.0,7.5,7.5,1.9839999999993196E-5,1.9839999999993196E-5,33.0,1.069,0.0,19.0,19.0,-12.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,35.0,20.0,21.0,9.200000000000001,357.0,336.0,2.0,3.0,620.0,4360.0,0.0,0.0,0.0,1.0,19475.0,10.3,0.0,0.0,,,,,,,,,,,,,,-28.9375,-1.5625,-0.9375,28.75,-28.9375,827.0,0.0,390.0,200.0,0.0,0.0,254.0,20.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,0.0,5.0,1.0,4.0,0.0,10.0,28488.0,101.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,4.3,5000.0,4990.0,4970.0,1.0,1.0,0.0,31.0,1717.0,0.0,255.0,850.0,318.0,0.0,0.0,1245716.0,3.008,3.0,50.0,
1788528103839,2026-09-04T17:21:43.839,0.0,4.0,0.0,1.0,830.0,14.3,38.0,2.84,2.84,2.84,2.84,1.0,0.0,478.0,1.0,0.0,449.0,7.5,7.5,1.9839999999993196E-5,1.9839999999993196E-5,33.0,1.069,0.0,19.0,19.0,-11.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,35.0,20.0,21.0,9.200000000000001,357.0,315.0,2.0,2.0,620.0,4370.0,0.0,0.0,0.0,1.0,19475.0,10.200000000000001,0.0,0.0,,,,,,,,,,,,,,-28.75,-1.6875,-2.125,28.5625,-28.75,827.0,0.0,390.0,200.0,0.0,0.0,254.0,20.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,0.0,5.0,1.0,4.0,0.0,10.0,28488.0,101.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,4.3,5000.0,4990.0,4990.0,1.0,1.0,0.0,31.0,1566.0,0.0,255.0,850.0,318.0,0.0,0.0,1245716.0,3.008,3.0,50.0,
1788528104384,2026-09-04T17:21:44.384,0.0,4.0,0.0,1.0,827.0,14.200000000000001,38.0,2.84,2.84,2.84,2.84,1.0,0.0,473.0,1.0,0.0,449.0,7.5,7.5,1.9839999999993196E-5,1.9839999999993196E-5,33.0,1.069,0.0,19.0,19.0,-12.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,35.0,21.0,21.0,9.200000000000001,357.0,315.0,3.0,2.0,620.0,4370.0,0.0,0.0,0.0,1.0,19475.0,10.4,1.0,0.0,,,,,,,,,,,,,,-28.9375,-1.1875,-1.0,28.75,-28.9375,827.0,0.0,390.0,200.0,0.0,0.0,254.0,20.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,0.0,5.0,1.0,4.0,0.0,10.0,28488.0,101.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,4.3,5000.0,4990.0,4980.0,1.0,1.0,0.0,31.0,1591.0,0.0,255.0,850.0,318.0,0.0,0.0,1245716.0,3.008,3.0,50.0,
1788528104819,2026-09-04T17:21:44.819,0.0,4.0,0.0,1.0,829.0,14.3,38.0,2.87,2.87,2.87,2.87,1.0,0.0,478.0,1.0,0.0,454.0,7.5,7.5,1.9839999999993196E-5,1.9839999999993196E-5,33.0,1.069,0.0,19.0,19.0,-12.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,35.0,20.0,21.0,9.3,357.0,336.0,2.0,2.0,620.0,4370.0,0.0,0.0,0.0,1.0,19475.0,10.3,1.0,0.0,,,,,,,,,,,,,,-29.0,-1.9375,-1.875,28.8125,-29.0,827.0,0.0,390.0,200.0,0.0,0.0,254.0,20.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,0.0,5.0,1.0,4.0,0.0,10.0,28488.0,101.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,4.3,5000.0,4990.0,4980.0,1.0,1.0,0.0,31.0,1559.0,0.0,255.0,850.0,318.0,0.0,0.0,1245716.0,3.008,3.0,50.0,
